referrer_npi,referrer_entity_type_code,referrer_last_name,referrer_first_name,referrer_credential,referrer_specialization,referrer_zip_code,referrer_city,referrer_state
1134122187,1,RUDNICKE,CHERYL,CRNP,,37203,NASHVILLE,TN
1750384780,1,PERRIGIN,JULIE,MD,,37055,DICKSON,TN
1922001957,1,PRESLEY,RICHARD,M.D.,,37203,NASHVILLE,TN
1073516001,1,ROSS,DAVID,MD,,37055,DICKSON,TN
1700889730,1,WEISS,KENNETH,M.D.,Sports Medicine,38120,MEMPHIS,TN
1053314104,1,UNGAB,RAMON,M.D.,,38134,BARTLETT,TN
1780687830,1,MANI,VENK,MD,Cytopathology,37055,DICKSON,TN
1497758445,1,MORSE,JOHN,MD,,37055,DICKSON,TN
1952304990,1,FLEET,WILLIAM,M.D.,Cardiovascular Disease,37067,FRANKLIN,TN
1689677619,1,ORGAIN,ROBERT,MD,,37055,DICKSON,TN
1336142363,1,REYNOLDS,MELISSA,M.D.,,37203,NASHVILLE,TN
1942203963,1,DAVIS,STACY,M.D.,Advanced Heart Failure and Transplant Cardiology,37201,NASHVILLE,TN
1992708911,1,RUSSELL,NATHAN,FNP,,37075,HENDERSONVILLE,TN
1427051432,1,TOLBERT,TODD,M.D.,Cardiovascular Disease,37203,NASHVILLE,TN
1154324192,1,OLDFIELD,ELIZABETH,M.D.,,37203,NASHVILLE,TN
1871596080,1,ALTENBERN,DARRINGTON,M.D.,,37203,NASHVILLE,TN
1295738482,1,BEARD,CRAIG,M.D.,,42103,BOWLING GREEN,KY
1275536468,1,ASAD,MUHAMMAD,MD,Cardiovascular Disease,37075,HENDERSONVILLE,TN
1316940596,1,HSIEH,ANSON,M.D.,,42104,BOWLING GREEN,KY
1134122310,1,SMITH,GARY,MD,Nuclear Radiology,37232,NASHVILLE,TN
1871596882,1,DENEKA,DAVID,M.D.,Sports Medicine,38120,MEMPHIS,TN
1952304966,1,SALYER,JOHN,MD,,37055,DICKSON,TN
1942203120,1,SAGER,ANDREW,M. D.,Cardiovascular Disease,37203,NASHVILLE,TN
1114920394,1,BOALS,JENNIFER,MD,Diagnostic Radiology,38138,GERMANTOWN,TN
1891798062,1,SINGER,PHILLIP,M.D.,,42103,BOWLING GREEN,KY
1033112206,1,BURCH,JOHN,M.D.,,42103,BOWLING GREEN,KY
