referrer_npi,referrer_entity_type_code,referrer_business_name,referrer_grouping,referrer_classification,referrer_zip_code,referrer_city,referrer_state
1346243375,2,"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL, INC",Hospitals,General Acute Care Hospital,08901,NEW BRUNSWICK,NJ
1104829159,2,LABORATORY CORPORATION OF AMERICA,Laboratories,Clinical Medical Laboratory,27215,BURLINGTON,NC
1770586794,2,ST LUKES REGIONAL MEDICAL CENTER,Hospitals,General Acute Care Hospital,83712,BOISE,ID
1083617005,2,"OKLAHOMA HEART HOSPITAL, LLC",Hospitals,General Acute Care Hospital,73120,OKLAHOMA CITY,OK
1073516019,2,DREW COUNTY MEMORIAL HOSPITAL,Hospitals,General Acute Care Hospital,71655,MONTICELLO,AR
1063415297,2,"PARK VIEW PSYCHIATRIC SERVICES, PSC",Allopathic & Osteopathic Physicians,Psychiatry & Neurology,47130,JEFFERSONVILLE,IN
1316940505,2,"ADVANCED PHYSICAL THERAPY, LLC","Respiratory, Developmental, Rehabilitative and Restorative Service Providers",Physical Therapist,46241,INDIANAPOLIS,IN
1922001189,2,"BINSON'S HOSPITAL SUPPLIES, INC.",Suppliers,Pharmacy,48015,CENTER LINE,MI
1639172869,2,CUMBERLAND COUNTY HOSPITAL SYSTEM INC,Hospitals,General Acute Care Hospital,28304,FAYETTEVILLE,NC
1639172810,2,THE OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,Ambulatory Health Care Facilities,Clinic/Center,46580,WARSAW,IN
1639172851,2,"MEMPHIS RADIOLOGICAL, P.C.",Allopathic & Osteopathic Physicians,Radiology,38104,MEMPHIS,TN
1598768780,2,LITTLE COMPANY OF MARY HOSPITAL INC,Hospitals,General Acute Care Hospital,60805,EVERGREEN PARK,IL
1083617245,2,"ST MARY'S HOSPITAL, CENTRALIA, ILLINOIS",Hospitals,General Acute Care Hospital,62801,CENTRALIA,IL
1154324283,2,DREXEL HEIGHTS FIRE DISTRICT,Transportation Services,Ambulance,85735,TUCSON,AZ
1073516183,2,"CAPITAL HEALTH SYSTEM, INC.",Hospitals,General Acute Care Hospital,08534,PENNINGTON,NJ
1053314146,2,BIOTECH CLINICAL LABORATORIES INC,Laboratories,Clinical Medical Laboratory,48375,NOVI,MI
1457354219,2,ELIZUR CORPORATION,Suppliers,Durable Medical Equipment & Medical Supplies,15237,PITTSBURGH,PA
1255334173,2,"FROEDTERT MEMORIAL LUTHERAN HOSPITAL, INC.",Hospitals,General Acute Care Hospital,53226,MILWAUKEE,WI
1518960426,2,ESCAMBIA CO BOARD OF COUNTY COMMISS,Transportation Services,Ambulance,32505,PENSACOLA,FL
1245233220,2,"NORTHRIDGE SURGERY CENTER, LP",Ambulatory Health Care Facilities,Clinic/Center,37075,MADISON,TN
1134122021,2,NEVADA CARDIOLOGY PROFESSIONAL ASSN,Allopathic & Osteopathic Physicians,Internal Medicine,89109,LAS VEGAS,NV
1275536047,2,"LAWRENCEBURG NH OPERATIONS, LLC",Nursing & Custodial Care Facilities,Skilled Nursing Facility,38464,LAWRENCEBURG,TN
1447253125,2,RIDGECREST REGIONAL HOSPITAL,Hospitals,General Acute Care Hospital,93555,RIDGECREST,CA
1366445355,2,SLEEPCAIR INC,Suppliers,Durable Medical Equipment & Medical Supplies,66215,LENEXA,KS
1821091893,2,DONALD MARTENS & SONS AMBULANCE SERVICE INC.,Transportation Services,Ambulance,44130,CLEVELAND,OH
1417950288,2,"HURON HEALTH CARE CENTER, INC.",Nursing & Custodial Care Facilities,Skilled Nursing Facility,44839,HURON,OH
1205839164,2,MID-ATLANTIC FAMILY PRACTICE,Allopathic & Osteopathic Physicians,Family Medicine,19958,LEWES,DE
1902809858,2,"PENINSULA CARDIOLOGY ASSOCIATES, P.A.",Allopathic & Osteopathic Physicians,Internal Medicine,21804,SALISBURY,MD
1477556306,2,CHARLES RETINA INSTITUTE PC,Other Service Providers,Specialist,38138,GERMANTOWN,TN
